Sector,Subsector,Primary Property Type - Self Selected,Largest Property Use Type,Property GFA - Self-Reported (m²),Number of Buildings,Electricity Use - Grid Purchase (GJ),Natural Gas Use (GJ),Other_Fuels_GJ,District_Energy_GJ,Has_NaturalGas,Has_Electricity,Total (Location-Based) GHG Emissions (Metric Tons CO2e)
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,6.5,1,24.5,,0.0,0.0,0,1,0.25
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,4459.4,1,3963.0,1993.1,0.0,0.0,1,1,139.79
Municipal,Municipality,Other - Public Services,Other - Public Services,65.0,1,10.5,,0.0,0.0,0,1,0.1
Municipal,Municipality,Other - Public Services,Other - Public Services,427.4,1,94.4,,0.0,0.0,0,1,0.94
Municipal,Municipality,Other - Public Services,Other - Public Services,37.2,1,9.9,,0.0,0.0,0,1,0.1
Municipal,Municipality,Other - Public Services,Other - Public Services,37.2,1,10.3,,0.0,0.0,0,1,0.1
Municipal,Municipality,Other - Public Services,Other - Public Services,37.2,1,1.0,,0.0,0.0,0,1,0.01
Municipal,Municipality,Other - Public Services,Other - Public Services,37.2,1,5.9,,0.0,0.0,0,1,0.06
Municipal,Municipality,Other - Public Services,Other - Public Services,2.3,1,3.6,,0.0,0.0,0,1,0.04
Municipal,Municipality,Other,Other - Public Services,9.3,1,17.1,,0.0,0.0,0,1,0.17
Municipal,Municipality,Other - Public Services,Other - Public Services,1957.9,1,382.7,494.5,0.0,0.0,1,1,28.68
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,18.6,1,11.6,,0.0,0.0,0,1,0.12
Municipal,Municipality,Other - Public Services,Other - Public Services,1887.1,1,380.1,842.7,0.0,0.0,1,1,46.15
Municipal,Municipality,Drinking Water Treatment & Distribution,Other - Public Services,250.8,1,39.8,,0.0,0.0,0,1,0.4
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,39.5,1,385.0,,0.0,0.0,0,1,3.85
Municipal,Municipality,Other - Public Services,Other - Public Services,509.9,1,122.9,276.5,0.0,0.0,1,1,15.12
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,36.2,1,120.1,,0.0,0.0,0,1,1.2
Municipal,Municipality,Other,Other - Public Services,100.0,1,44.7,,0.0,0.0,0,1,0.45
Municipal,Municipality,Police Station,Police Station,1523.6,1,1263.5,,0.0,0.0,0,1,12.64
Municipal,Municipality,Police Station,Police Station,0.9,1,182.0,,0.0,0.0,0,1,1.82
Municipal,Municipality,Police Station,Police Station,343.0,1,27.2,167.4,0.0,0.0,1,1,8.69
Municipal,Municipality,Other,Other - Public Services,0.9,1,49.0,,0.0,0.0,0,1,0.49
Municipal,Municipality,Other,Other - Public Services,0.9,1,35.8,,0.0,0.0,0,1,0.36
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,26.9,1,309.5,,0.0,0.0,0,1,3.1
Municipal,Municipality,Other,Other - Public Services,17.9,1,77.0,,0.0,0.0,0,1,0.77
Municipal,Municipality,Other,Other - Public Services,100.0,1,87.4,,0.0,0.0,0,1,0.87
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,17.9,1,57.2,39.2,0.0,0.0,1,1,2.54
Municipal,Municipality,Other - Public Services,Other - Public Services,0.9,1,1412.7,5548.8,0.0,0.0,1,1,292.98
Municipal,Municipality,Other,Other - Public Services,0.9,1,15.4,,0.0,0.0,0,1,0.15
Municipal,Municipality,Office,Office,492.4,1,198.7,332.9,0.0,0.0,1,1,18.72
Municipal,Municipality,Other - Public Services,Other - Public Services,4799.9,1,,296.2,0.0,0.0,1,0,14.88
Municipal,Municipality,Other - Public Services,Other - Public Services,0.9,1,24.4,,0.0,0.0,0,1,0.24
Municipal,Municipality,Other - Public Services,Other - Public Services,0.9,1,9.5,,0.0,0.0,0,1,0.1
Municipal,Municipality,Office,Office,334.5,1,44.0,81.6,0.0,0.0,1,1,4.54
Municipal,Municipality,Other - Public Services,Other - Public Services,0.9,1,7.9,,0.0,0.0,0,1,0.08
Municipal,Municipality,Other - Public Services,Other - Public Services,603.9,1,540.3,365.2,0.0,0.0,1,1,23.76
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,216.0,1,101.6,,0.0,0.0,0,1,1.02
Municipal,Municipality,Other - Public Services,Other - Public Services,9.3,1,371.6,,0.0,0.0,0,1,3.72
Municipal,Municipality,Indoor Arena,Indoor Arena,5667.1,1,1307.4,4912.1,0.0,0.0,1,1,259.93
Municipal,Municipality,Other,Other - Public Services,0.9,1,2639.0,,0.0,0.0,0,1,26.39
Municipal,Municipality,Drinking Water Treatment & Distribution,Wastewater Treatment Plant,23.2,1,303.3,,0.0,0.0,0,1,3.03
Municipal,Municipality,Other,Other - Public Services,0.9,1,4.3,,0.0,0.0,0,1,0.04
Municipal,Municipality,Other,Other - Public Services,0.9,1,142.7,,0.0,0.0,0,1,1.43
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,100.0,1,5465.1,,0.0,0.0,0,1,54.65
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,4759.0,1,8325.0,7455.8,0.0,0.0,1,1,457.95
Municipal,Municipality,Other - Public Services,Other - Public Services,0.9,1,0.1,,0.0,0.0,0,1,0.0
Municipal,Municipality,Indoor Arena,Other - Recreation,0.9,1,8.2,,0.0,0.0,0,1,0.08
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,4645.2,1,860.2,,220.9,0.0,0,1,22.08
Municipal,Municipality,Office,Office,8856.5,1,8338.9,,0.0,0.0,0,1,83.39
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,4003.6,1,17470.3,11738.3,0.0,0.0,1,1,764.62
Municipal,Municipality,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,551.0,0,118.2,568.2,0.0,0.0,1,1,29.74
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,12456.0,1,10610.1,10689.2,0.0,0.0,1,1,643.29
Municipal,Municipality,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,603.9,1,389.1,566.5,0.0,0.0,1,1,32.36
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,11701.8,1,12517.8,17989.0,0.0,0.0,1,1,1029.23
Municipal,Municipality,Parking,Parking,728.4,1,531.5,0.0,0.0,0.0,1,1,5.31
Municipal,Municipality,Office,Office,182.3,1,11.8,1207.6,0.0,0.0,1,1,60.81
Municipal,Municipality,Other - Recreation,Other - Recreation,5879.9,1,9331.2,4928.0,0.0,0.0,1,1,340.97
Municipal,Municipality,Fire Station,Fire Station,1683.4,1,571.8,1792.9,0.0,0.0,1,1,95.82
Municipal,Municipality,Fire Station,Fire Station,400.5,1,170.2,303.8,0.0,0.0,1,1,16.97
Municipal,Municipality,Fire Station,Fire Station,400.5,1,155.8,208.4,0.0,0.0,1,1,12.03
Municipal,Municipality,Other - Public Services,Other - Public Services,13085.2,1,2723.6,5306.1,0.0,0.0,1,1,293.9
Municipal,Municipality,Other - Public Services,Other - Public Services,3653.0,1,1835.9,966.7,0.0,0.0,1,1,66.94
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,1344.3,1,479.6,603.6,0.0,0.0,1,1,35.13
Municipal,Municipality,Other - Public Services,Other - Public Services,4284.7,1,915.8,3184.7,0.0,0.0,1,1,169.2
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,2244.0,1,6060.7,5966.5,0.0,0.0,1,1,360.46
Municipal,Municipality,Office,Office,514.2,1,55.6,285.6,0.0,0.0,1,1,14.91
Municipal,Municipality,Other - Public Services,Other - Public Services,31.1,1,176.2,115.7,0.0,0.0,1,1,7.58
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,1393.5,1,14331.1,,0.0,0.0,0,1,143.32
Municipal,Municipality,Office,Office,2420.5,1,1002.8,587.3,0.0,0.0,1,1,39.54
Municipal,Municipality,Office,Office,2173.9,1,1354.2,2161.7,0.0,0.0,1,1,122.18
Municipal,Municipality,Office,Office,284.7,1,75.7,375.0,0.0,0.0,1,1,19.6
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,3251.6,1,1444.3,1482.2,0.0,0.0,1,1,88.93
Municipal,Municipality,Fire Station,Fire Station,677.4,1,214.4,325.6,0.0,0.0,1,1,18.51
Municipal,Municipality,Fire Station,Fire Station,448.9,1,119.3,370.5,0.0,0.0,1,1,19.81
Municipal,Municipality,Police Station,Police Station,2675.6,1,1533.2,586.9,0.0,0.0,1,1,44.83
Municipal,Municipality,Library,Library,1598.1,1,695.1,702.0,0.0,0.0,1,1,42.23
Municipal,Municipality,Other - Public Services,Other - Public Services,675.9,1,62.4,,0.0,0.0,0,1,0.62
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,14455.7,1,8340.0,10442.9,0.0,0.0,1,1,608.21
Municipal,Municipality,Office,Office,521.2,1,93.3,297.8,0.0,0.0,1,1,15.9
Municipal,Municipality,Other - Public Services,Other - Public Services,1174.3,1,519.5,930.9,0.0,0.0,1,1,51.98
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,139.4,1,12397.5,0.0,0.0,0.0,1,1,123.98
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,3587.0,1,2881.9,3626.2,0.0,0.0,1,1,211.06
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,3251.9,1,1437.8,2451.4,0.0,0.0,1,1,137.58
Municipal,Municipality,Indoor Arena,Other - Recreation,4208.0,1,1878.6,2212.0,0.0,0.0,1,1,129.95
Municipal,Municipality,Other - Public Services,Other - Public Services,530.8,1,65.3,320.9,0.0,0.0,1,1,16.78
Municipal,Municipality,Office,Office,1413.0,1,729.2,1289.6,0.0,0.0,1,1,72.1
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,3594.9,1,90.5,691.8,0.0,0.0,1,1,35.67
Municipal,Municipality,Other - Public Services,Other - Public Services,66.9,1,64.1,,0.0,0.0,0,1,0.64
Municipal,Municipality,Fire Station,Fire Station,612.9,1,56.2,259.8,0.0,0.0,1,1,13.62
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,167.2,1,1334.7,,0.0,0.0,0,1,13.35
Municipal,Municipality,Office,Office,2470.9,1,385.9,288.8,0.0,0.0,1,1,18.37
Municipal,Municipality,Library,Office,1189.0,1,259.4,463.5,0.0,0.0,1,1,25.89
Municipal,Municipality,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,1978.9,1,1197.9,1997.0,0.0,0.0,1,1,112.34
Municipal,Municipality,Other - Public Services,Other - Public Services,771.0,1,65.7,750.7,0.0,0.0,1,1,38.38
Municipal,Municipality,Other - Public Services,Other - Public Services,529.9,1,122.3,1657.7,0.0,0.0,1,1,84.53
Municipal,Municipality,Other - Public Services,Other - Public Services,935.0,1,248.8,,0.0,0.0,0,1,2.49
Municipal,Municipality,Fire Station,Fire Station,1584.8,1,226.4,548.4,0.0,0.0,1,1,29.82
Municipal,Municipality,Other - Public Services,Other - Public Services,445.8,1,34.4,,0.0,0.0,0,1,0.34
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,1091.0,1,155.3,570.8,0.0,0.0,1,1,30.24
Municipal,Municipality,Other - Public Services,Office,166.9,1,22.1,146.5,0.0,0.0,1,1,7.58
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,268.3,1,473.4,,97.6,0.0,0,1,10.69
Municipal,Municipality,Wastewater Treatment Plant,Wastewater Treatment Plant,144.2,1,1131.0,,0.0,0.0,0,1,11.31
Municipal,Municipality,Other,Other - Public Services,668.9,1,69.2,975.0,0.0,0.0,1,1,49.69
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,242.0,1,2291.4,795.0,0.0,0.0,1,1,62.87
Municipal,Municipality,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution,65.0,1,1970.2,494.9,0.0,0.0,1,1,44.57
Municipal,Municipality,Indoor Arena,Other - Recreation,2090.3,1,998.4,529.3,0.0,0.0,1,1,36.58
Municipal,Municipality,Office,Office,2043.9,1,638.2,1433.8,0.0,0.0,1,1,78.44
Municipal,Municipality,Other - Public Services,Other - Public Services,148.6,1,83.9,,0.0,0.0,0,1,0.84
Municipal,Municipality,Other - Public Services,Other - Public Services,148.6,1,104.1,,0.0,0.0,0,1,1.04
Municipal,Municipality,Other - Public Services,Other - Public Services,206.1,1,109.7,,0.0,0.0,0,1,1.1
Municipal,Municipality,Police Station,Police Station,6085.2,1,4226.8,3349.6,0.0,0.0,1,1,210.6
Municipal,Municipality,Other - Public Services,Other - Public Services,369.0,1,116.0,198.6,0.0,0.0,1,1,11.14
Municipal,Municipality,Other - Recreation,Heated Swimming Pool,10500.1,1,6501.9,16016.2,0.0,0.0,1,1,869.92
Municipal,Municipality,Other - Recreation,Heated Swimming Pool,1023.3,1,1250.1,4917.6,0.0,0.0,1,1,259.64
Municipal,Municipality,Office,Office,4041.3,1,1766.6,2757.9,0.0,0.0,1,1,156.26
Municipal,Municipality,Office,Office,799.0,1,1010.6,0.0,0.0,0.0,1,1,10.11
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,2444.3,1,1437.4,1939.2,0.0,0.0,1,1,111.83
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,747.9,1,359.3,319.9,0.0,0.0,1,1,19.67
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,3260.9,1,1700.8,3063.3,0.0,0.0,1,1,170.96
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,6874.8,1,5032.3,6529.8,0.0,0.0,1,1,378.48
Municipal,Municipality,Fire Station,Fire Station,478.5,1,310.2,399.7,0.0,0.0,1,1,23.19
Municipal,Municipality,Other - Public Services,Other - Public Services,3624.2,1,851.1,3466.6,0.0,0.0,1,1,182.73
Municipal,Municipality,Other - Public Services,Other - Public Services,371.6,1,138.2,366.1,0.0,0.0,1,1,19.78
Municipal,Municipality,Other - Public Services,Other - Public Services,368.0,1,121.9,237.2,0.0,0.0,1,1,13.14
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,2165.6,1,981.5,1838.9,0.0,0.0,1,1,102.23
Municipal,Municipality,Other - Public Services,Other - Public Services,304.7,1,81.4,317.7,0.0,0.0,1,1,16.78
Municipal,Municipality,Fire Station,Fire Station,278.7,1,103.2,288.2,0.0,0.0,1,1,15.51
Municipal,Municipality,Office,Office,1176.6,1,374.8,,0.0,0.0,0,1,3.75
Municipal,Municipality,Fire Station,Fire Station,520.3,1,243.6,386.2,0.0,0.0,1,1,21.85
Municipal,Municipality,Other - Public Services,Other - Public Services,3530.3,1,1452.5,2053.8,0.0,0.0,1,1,117.74
Municipal,Municipality,Fire Station,Fire Station,334.5,1,185.9,295.8,0.0,0.0,1,1,16.73
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,625.4,1,92.2,242.7,0.0,0.0,1,1,13.12
Municipal,Municipality,Other - Public Services,Other - Public Services,471.9,1,303.0,,0.0,0.0,0,1,3.03
Municipal,Municipality,Fire Station,Fire Station,383.7,1,189.4,138.4,0.0,0.0,1,1,8.85
Municipal,Municipality,Other - Public Services,Other - Public Services,1626.7,1,1172.4,1822.5,0.0,0.0,1,1,103.31
Municipal,Municipality,Other - Public Services,Other - Public Services,162.6,1,52.3,,0.0,0.0,0,1,0.52
Municipal,Municipality,Other - Public Services,Other - Public Services,339.1,1,68.5,,0.0,0.0,0,1,0.68
Municipal,Municipality,Other - Public Services,Other - Public Services,2499.1,1,538.0,2932.5,0.0,0.0,1,1,152.76
Municipal,Municipality,Other - Public Services,Other - Public Services,1337.8,1,533.9,1301.4,0.0,0.0,1,1,70.74
Municipal,Municipality,Office,Office,999.6,1,315.6,511.0,0.0,0.0,1,1,28.84
Municipal,Municipality,Other - Public Services,Other - Public Services,195.1,1,85.5,,0.0,0.0,0,1,0.86
Municipal,Municipality,Ice/Curling Rink,Ice/Curling Rink,2322.6,1,1012.5,1893.5,0.0,0.0,1,1,105.28
Municipal,Municipality,Fire Station,Fire Station,478.5,1,266.0,369.9,0.0,0.0,1,1,21.25
Municipal,Municipality,Fire Station,Fire Station,2295.7,1,888.6,746.8,0.0,0.0,1,1,46.42
Municipal,Municipality,Other - Public Services,Other - Public Services,190.5,1,,128.7,0.0,0.0,1,0,6.47
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,501.7,1,178.0,329.3,0.0,0.0,1,1,18.33
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,947.6,1,198.7,401.9,0.0,0.0,1,1,22.18
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,931.4,1,219.9,300.0,0.0,0.0,1,1,17.27
Municipal,Municipality,Other - Public Services,Other - Public Services,1790.5,1,223.0,867.4,0.0,0.0,1,1,45.82
